lng,lat
-5.8295893,57.0059666
-5.8295893,57.0059666
-5.8295893,57.0059666
-5.8295893,57.0059666
-5.8295893,57.0059666
-5.8295893,57.0059666
-5.8295893,57.0059666
-5.8219105,56.9696955
-5.7138158,57.2797482
-5.7138158,57.2797482
-5.7138158,57.2797482
-5.6920091,57.3193844
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.5324672,50.1216823
-5.476787,50.208645
-5.476787,50.208645
-5.476787,50.208645
-5.476787,50.208645
-5.476787,50.208645
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4739204,56.4124643
-5.4443175,50.1704777
-5.4443175,50.1704777
-5.4443175,50.1704777
-5.4195296,50.1862353
-5.4195296,50.1862353
-5.4195296,50.1862353
-5.2974721,50.2104237
-5.2974721,50.2104237
-5.2395921,56.4307856
-5.2259745,50.2332413
-5.2259745,50.2332413
-5.1109354,50.1702686
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.1061344,56.8204235
-5.0954162,56.8432883
-5.0757086,50.4150881
-5.0757086,50.4150881
-5.0757086,50.4150881
-5.0652724,50.1483637
-5.0652724,50.1483637
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0648669,50.2638296
-5.0560829,50.1506932
-5.0560829,50.1506932
-5.0247291,54.9095986
-4.9856709,52.0115542
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9602324,51.8026376
-4.9380766,51.6939155
-4.8890744,55.8761318
-4.8517408,55.6961464
-4.8211052,55.6398619
-4.8211052,55.6398619
-4.8166488,55.9622999
-4.7918702,51.660168
-4.7894056,50.3395074
-4.7894056,50.3395074
-4.7894056,50.3395074
-4.7894056,50.3395074
-4.7894056,50.3395074
-4.7894056,50.3395074
-4.7894056,50.3395074
-4.7747568,55.9412369
-4.7678237,55.9473256
-4.7678237,55.9473256
-4.7327463,56.0041901
-4.7318788,51.8405456
-4.7151927,51.7321092
-4.7100101,55.655941
-4.7100101,55.655941
-4.7100101,55.655941
-4.706733,51.6729458
-4.706733,51.6729458
-4.706733,51.6729458
-4.706733,51.6729458
-4.7047196,50.3553172
-4.7047196,50.3553172
-4.7047196,50.3553172
-4.6898141,55.9335038
-4.6898141,55.9335038
-4.6751363,55.6108626
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6629711,50.4458559
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6553885,55.9311949
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6310127,53.3077048
-4.6268205,55.4582044
-4.6268205,55.4582044
-4.6268205,55.4582044
-4.6268205,55.4582044
-4.6268205,55.4582044
-4.6268205,55.4582044
-4.6184154,56.39046
-4.6151468,55.5016918
-4.5834697,56.0029153
-4.5768638,56.6860288
-4.5768638,56.6860288
-4.5669054,55.9466438
-4.5669054,55.9466438
-4.5541212,55.9422357
-4.5180434,55.682144
-4.5180434,55.682144
-4.5036211,55.8346943
-4.4986706,55.6121057
-4.4986706,55.6121057
-4.4674989,50.4468483
-4.4674989,50.4468483
-4.426678,55.9119166
-4.426678,55.9119166
-4.426678,55.9119166
-4.4245039,55.847335
-4.4245039,55.847335
-4.4245039,55.847335
-4.4245039,55.847335
-4.4245039,55.847335
-4.4220691,57.5940576
-4.3972803,55.8037371
-4.3972803,55.8037371
-4.3694852,51.7683702
-4.3216408,55.8894954
-4.3088004,55.8698738
-4.3088004,55.8698738
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.3059858,51.853358
-4.2901148,55.7941051
-4.269813,55.8646673
-4.269813,55.8646673
-4.269813,55.8646673
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
-4.257636,55.8597414
