lng,lat
-2.1338506,52.4475953
-4.257636,55.8597414
-0.1229213,51.5308884
-2.4548877,50.6160161
0.2668338,52.3912496
-1.1480659,51.8934944
-2.2289778,53.47672
0.6404283,51.5413668
-3.1793115,51.4760266
-0.1255274,51.5306243
-4.2231863,57.4801023
-0.1229213,51.5308884
-0.1229213,51.5308884
-1.5362122,52.2845019
-1.5362122,52.2845019
-1.5362122,52.2845019
-2.922,53.516
-0.1636277,51.5225401
-1.5473285,54.5204514
-2.2729815,53.3650585
-1.2701512,51.7535008
-0.6463698,51.5235025
-0.1636277,51.5225401
-1.8544887,53.7204397
-0.1229213,51.5308884
-2.2289778,53.47672
-0.1636277,51.5225401
-2.2289778,53.47672
-0.1345585,51.5283763
-0.1345585,51.5283763
-0.1229213,51.5308884
-2.7081247,53.7568705
-1.9366817,52.4512502
-0.1412252,50.8289532
-0.1255274,51.5306243
-1.8924691,52.479088
-0.1255274,51.5306243
-0.113897,51.503507
-1.1480659,51.8934944
-0.1768447,51.5164514
-3.1793115,51.4760266
-0.1636277,51.5225401
-1.2701512,51.7535008
-0.1229213,51.5308884
-0.1636277,51.5225401
-0.1636277,51.5225401
-3.1882219,55.9523872
-0.1229213,51.5308884
-2.922,53.516
-1.3281305,52.0603128
-0.94214,51.7708599
-4.257636,55.8597414
-1.5362122,52.2845019
-1.5362122,52.2845019
-1.8983608,52.4781942
-2.0996258,51.897399
-0.1636277,51.5225401
-0.1636277,51.5225401
-0.1636277,51.5225401
-1.1480659,51.8934944
-1.1480659,51.8934944
-2.7222532,54.305248
-0.1636277,51.5225401
-0.1636277,51.5225401
-0.1636277,51.5225401
-2.7222532,54.305248
-0.1188409,50.8467167
-1.5362122,52.2845019
-0.1636277,51.5225401
-0.7741426,52.0343
-0.1636277,51.5225401
-0.94214,51.7708599
-0.1255274,51.5306243
-1.581858,52.2865513
-0.6074284,51.6096686
-0.1636277,51.5225401
-0.3992477,51.5569266
-0.1636277,51.5225401
-0.1636277,51.5225401
-1.2701512,51.7535008
-0.1768447,51.5164514
-0.94214,51.7708599
-1.3769876,50.918445
-0.1636277,51.5225401
-1.5362122,52.2845019
-0.1610403,51.1564853
-0.745408,51.6295862
-0.7091378,51.7035207
-0.1636277,51.5225401
-0.4146252,51.3729322
-2.1220368,52.8039086
-0.1636277,51.5225401
-0.6438177,51.6112907
-2.2289778,53.47672
-0.1345585,51.5283763
-1.899821,52.4835896
-0.745408,51.6295862
-4.2506579,55.8623229
-4.2506579,55.8623229
-0.6438177,51.6112907
-0.1229213,51.5308884
-0.1636277,51.5225401
-0.5552685,51.5890216
-1.6120622,52.286115
-0.94214,51.7708599
-1.6120622,52.286115
-0.1636277,51.5225401
-0.9718544,51.4587819
-1.6729812,52.2952899
-2.7222532,54.305248
-0.1636277,51.5225401
-0.1636277,51.5225401
-1.4412757,54.3330789
-1.1402345,53.5214971
-1.6729812,52.2952899
-0.8438815,51.7178632
-0.7091378,51.7035207
0.5191939,51.6150293
-1.1480659,51.8934944
-2.922,53.516
-0.9066523,52.2375093
-0.1345585,51.5283763
-4.2506579,55.8623229
-0.1636277,51.5225401
-1.4201091,53.2382405
-0.1412252,50.8289532
-0.1636277,51.5225401
-0.1636277,51.5225401
-0.1636277,51.5225401
-1.5362122,52.2845019
-2.7222532,54.305248
-0.1636277,51.5225401
-1.899821,52.4835896
-0.1636277,51.5225401
-0.5552685,51.5890216
-0.6438177,51.6112907
-0.1636277,51.5225401
-1.5362122,52.2845019
-1.0931769,53.9579792
-0.7840845,51.7878003
-0.9066523,52.2375093
-0.5552685,51.5890216
-1.581756,54.7793923
-1.5362122,52.2845019
-0.745408,51.6295862
-0.8438815,51.7178632
-0.745408,51.6295862
-0.5552685,51.5890216
-0.745408,51.6295862
